MOVIE,OBO,UA_T,TA_T,DI_T,FC_T,Year,Genre,Studio
MAMA,32147815,6,27,26,1,2013,HORROR,AA
ZERO DARK THIRTY,24438936,10,44,34,4,2013,ACTION DRAMA,AA
TEXAS CHAINSAW 3D,21744470,7,61,27,4,2013,HORROR,AA
HANSEL & GRETEL: WITCH HUNTERS,19690956,5,60,31,3,2013,ACTION ADVENTURE,AA
A HAUNTED HOUSE,18101682,4,36,36,1,2013,COMEDY,AA
GANGSTER SQUAD,17070347,5,54,40,3,2013,ACTION DRAMA,AA
BROKEN CITY,9549459,2,36,31,2,2013,HUMN INTST DRMA,AA
THE LAST STAND,7213327,2,50,25,2,2013,ACTION,AA
PARKER,7008222,0,25,30,0,2013,ACTION DRAMA,AA
MOVIE 43,4805878,4,36,33,1,2013,ZANY COMEDY,AA
PROMISED LAND (2012),4049911,0,33,25,1,2013,HUMN INTST DRMA,AA
IDENTITY THIEF,34551025,6,58,38,5,2013,HUMN INTST CMDY,AA
A GOOD DAY TO DIE HARD,28640657,6,74,47,11,2013,ACTION,AA
SAFE HAVEN,24469155,4,52,27,3,2013,ROMANTIC DRAMA,AA
ESCAPE FROM PLANET EARTH,21101976,5,46,35,2,2013,FAMILY,AA
WARM BODIES,20353967,4,32,36,2,2013,ROMANTIC DRAMA,AA
SNITCH,13167607,4,51,33,2,2013,SUSPNS/THRILLER,AA
SIDE EFFECTS (2013),9303145,1,42,33,2,2013,SUSPNS/THRILLER,AA
BEAUTIFUL CREATURES (2013),8945261,3,46,31,3,2013,ROMANTIC DRAMA,AA
DARK SKIES,8189166,3,33,23,0,2013,SUSPNS/THRILLER,AA
BULLET TO THE HEAD,4548201,2,36,28,0,2013,ACTION DRAMA,AA
OZ THE GREAT AND POWERFUL,79110453,19,75,48,13,2013,ACTION ADVENTURE,AA
THE CROODS,43639736,10,46,34,3,2013,ANIMATION,AA
G.I. JOE: RETALIATION,40501814,9,72,42,10,2013,ACTION DRAMA,AA
OLYMPUS HAS FALLEN,30373794,4,43,41,5,2013,ACTION DRAMA,AA
JACK THE GIANT SLAYER,27202226,9,61,32,6,2013,ACTION ADVENTURE,AA
TYLER PERRY'S TEMPTATION,21641679,3,45,31,5,2013,ROMANTIC DRAMA,AA
THE CALL,17118745,4,43,32,4,2013,THRILLER,AA
THE HOST (2013),10600112,3,40,31,2,2013,THRILLER,AA
THE INCREDIBLE BURT WONDERSTONE,10177257,2,43,32,3,2013,COMEDY,AA
21 AND OVER,8754168,4,42,31,2,2013,ZANY COMEDY,AA
THE LAST EXORCISM II,7728354,1,46,25,2,2013,HORROR,AA
ADMISSION,6154984,1,36,29,1,2013,HUMN INTST CMDY,AA
DEAD MAN DOWN,5345250,1,40,32,1,2013,SUSPNS/THRILLER,AA
OBLIVION,37054485,11,60,40,6,2013,ACTION DRAMA,AA
42,27487144,5,37,30,2,2013,HUMN INTST DRMA,AA
EVIL DEAD,25775847,6,41,35,4,2013,HORROR,AA
PAIN & GAIN,20244505,6,49,37,4,2013,ACTION COMEDY,AA
JURASSIC PARK 3D,18620145,5,71,33,5,2013,ACTION ADVENTURE,AA
SCARY MOVIE 5,14157367,8,66,32,2,2013,ZANY COMEDY,AA
THE BIG WEDDING,7591663,7,38,31,5,2013,ROMANTIC COMEDY,AA
IRON MAN 3,174144585,25,92,69,30,2013,ACTION DRAMA,AA
FAST & FURIOUS 6,117036995,19,88,49,11,2013,ACTION DRAMA,AA
STAR TREK INTO DARKNESS,70165559,17,79,49,13,2013,ACTION ADVENTURE,AA
THE HANGOVER PART III,50262366,15,87,49,9,2013,COMEDY,AA
THE GREAT GATSBY (2013),50085184,11,80,45,13,2013,DRAMA,AA
EPIC,42820971,13,60,36,3,2013,FAMILY,AA
NOW YOU SEE ME,29254674,5,50,38,3,2013,ACTION DRAMA,AA
AFTER EARTH,27520040,7,71,41,7,2013,ACTION DRAMA,AA
TYLER PERRY PRESENTS PEEPLES,4611534,0,40,28,3,2013,HUMN INTST CMDY,AA
MAN OF STEEL,116619362,26,75,50,11,2013,ACTION ADVENTURE,AA
MONSTERS UNIVERSITY,82429469,18,88,49,6,2013,FAMILY,AA
WORLD WAR Z,66411834,13,77,40,6,2013,HORROR,AA
THE HEAT,39115043,8,53,33,5,2013,COMEDY,AA
THE PURGE,34058360,5,37,34,2,2013,THRILLER,AA
WHITE HOUSE DOWN,24852258,5,66,36,3,2013,ACTION DRAMA,AA
THIS IS THE END,20719162,5,52,35,2,2013,ZANY COMEDY,AA
THE INTERNSHIP,17325307,5,60,29,2,2013,COMEDY,AA
DESPICABLE ME 2,83517315,23,92,47,6,2013,FAMILY,AA
THE WOLVERINE,53113752,11,82,50,9,2013,ACTION,AA
THE CONJURING,41855326,5,33,30,1,2013,HORROR,AA
GROWN UPS 2,41508572,9,80,40,6,2013,HUMN INTST CMDY,AA
PACIFIC RIM,37285325,6,40,36,3,2013,ACTION DRAMA,AA
TURBO,21312625,11,54,32,1,2013,FAMILY,AA
RED 2,18048422,9,57,38,4,2013,ACTION COMEDY,AA
THE SMURFS 2,17548389,12,73,25,1,2013,COMEDY,AA
R.I.P.D.,12691415,7,49,32,1,2013,ACTION COMEDY,AA
ELYSIUM,29807393,5,51,41,5,2013,ACTION DRAMA,AA
2 GUNS,27059130,7,49,39,3,2013,ACTION DRAMA,AA
WE'RE THE MILLERS,26419396,5,51,30,3,2013,HUMN INTST CMDY,AA
LEE DANIELS' THE BUTLER,24637312,3,37,34,2,2013,HUMN INTST DRMA,AA
PLANES,22232291,10,63,34,3,2013,FAMILY,AA
ONE DIRECTION: THIS IS US,18472875,3,37,17,1,2013,DOCUMENTARY,AA
PERCY JACKSON: SEA OF MONSTERS,14401054,7,59,40,2,2013,FAMILY,AA
KICK-ASS 2,13332955,5,66,35,4,2013,ACTION COMEDY,AA
THE MORTAL INSTRUMENTS: CITY OF BONES,9336957,3,29,30,2,2013,DRAMA,AA
THE WORLD'S END,8790237,4,48,31,3,2013,COMEDY,AA
YOU'RE NEXT,7020196,0,27,24,2,2013,HORROR,AA
JOBS,6713900,0,36,25,1,2013,HUMN INTST DRMA,AA
GETAWAY,5606142,0,37,27,1,2013,ACTION DRAMA,AA
PARANOIA,3528376,3,44,27,1,2013,SUSPNS/THRILLER,AA
INSIDIOUS CHAPTER 2,40272103,9,57,39,6,2013,HORROR,AA
CLOUDY WITH A CHANCE OF MEATBALLS 2,34017930,16,82,41,7,2013,FAMILY,AA
PRISONERS,20817053,6,52,38,5,2013,SUSPNS/THRILLER,AA
RIDDICK,19030375,6,62,45,7,2013,ACTION DRAMA,AA
THE FAMILY (2013),14034764,5,57,38,5,2013,ACTION COMEDY,AA
RUSH (2013),10014920,3,52,31,3,2013,HUMN INTST DRMA,AA
BAGGAGE CLAIM,9031102,2,34,32,2,2013,ROMANTIC COMEDY,AA
DON JON,8677009,5,41,27,2,2013,ROMANTIC COMEDY,AA
BATTLE OF THE YEAR,4603177,0,32,29,1,2013,HUMN INTST DRMA,AA
GRAVITY,55785112,6,67,42,8,2013,SUSPNS/THRILLER,AA
JACKASS PRESENTS: BAD GRANDPA,32055177,7,57,42,6,2013,ZANY COMEDY,AA
CAPTAIN PHILLIPS,25718314,3,59,40,7,2013,HUMN INTST DRMA,AA
CARRIE (2013),16101552,7,65,34,5,2013,HORROR,AA
ESCAPE PLAN,9885732,2,50,37,3,2013,ACTION DRAMA,AA
THE COUNSELOR,7842930,3,54,37,4,2013,THRILLER,AA
RUNNER RUNNER,7706712,3,48,36,3,2013,SUSPNS/THRILLER,AA
MACHETE KILLS,3837183,4,45,33,4,2013,ACTION DRAMA,AA
THE FIFTH ESTATE,1673351,3,31,29,1,2013,DRAMA,BB
THE HUNGER GAMES: CATCHING FIRE,158074286,23,94,64,24,2013,ACTION,BB
THOR: THE DARK WORLD,85737841,21,76,57,17,2013,ACTION ADVENTURE,BB
FROZEN (2013),67391326,19,63,46,4,2013,FAMILY,BB
THE BEST MAN HOLIDAY,30107555,8,38,38,4,2013,COMEDY,BB
ENDER'S GAME,27017351,7,57,41,8,2013,ACTION DRAMA,BB
LAST VEGAS,16334566,5,57,33,4,2013,HUMN INTST CMDY,BB
FREE BIRDS,15805237,6,48,36,2,2013,FAMILY,BB
DELIVERY MAN,7944977,6,50,33,3,2013,HUMN INTST CMDY,BB
HOMEFRONT,6915241,1,36,32,1,2013,SUSPNS/THRILLER,BB
ABOUT TIME,4758070,5,31,25,2,2013,ROMANTIC COMEDY,BB
BLACK NATIVITY,3669530,0,31,23,1,2013,HUMN INTST DRMA,BB
ANCHORMAN 2: THE LEGEND CONTINUES,26232425,7,78,47,8,2013,ZANY COMEDY,BB
AMERICAN HUSTLE,19106933,3,51,32,3,2013,HUMN INTST DRMA,BB
THE WOLF OF WALL STREET,18361578,5,61,37,5,2013,DRAMA,BB
TYLER PERRY'S A MADEA CHRISTMAS,16007634,5,59,36,5,2013,HUMN INTST CMDY,BB
THE SECRET LIFE OF WALTER MITTY,12765508,6,59,27,2,2013,COMEDY,BB
47 RONIN (2013),9910310,2,44,32,3,2013,ACTION DRAMA,BB
SAVING MR. BANKS,9344381,4,51,34,3,2013,HUMN INTST DRMA,BB
WALKING WITH DINOSAURS 3D,7091938,5,48,30,1,2013,FAMILY,BB
GRUDGE MATCH,7021993,3,48,30,3,2013,HUMN INTST CMDY,BB
OUT OF THE FURNACE,5220288,0,33,32,1,2013,ACTION DRAMA,BB
RIDE ALONG,48626380,5,45,38,3,2014,ACTION COMEDY,BB
LONE SURVIVOR,37849910,5,43,32,3,2014,ACTION DRAMA,BB
THE NUT JOB,25700000,5,35,29,0,2014,ANIMATION,BB
PARANORMAL ACTIVITY: THE MARKED ONES,18343611,4,55,31,3,2014,SUSPNS/THRILLER,BB
JACK RYAN: SHADOW RECRUIT,18034726,2,39,33,2,2014,SUSPNS/THRILLER,BB
DEVIL'S DUE,9145358,0,23,27,0,2014,HORROR,BB
THE LEGEND OF HERCULES,8868318,3,41,32,1,2014,ACTION,BB
THAT AWKWARD MOMENT,8742109,6,46,31,2,2014,ROMANTIC COMEDY,BB
"I, FRANKENSTEIN",8610441,4,47,27,1,2014,ACTION DRAMA,BB
HER,5345477,4,32,25,1,2014,HUMN INTST CMDY,BB
LABOR DAY,5175282,2,39,24,1,2014,HUMN INTST DRMA,BB
THE LEGO MOVIE,69050279,11,68,35,5,2014,ANIMATION,BB
NON-STOP,28875635,4,39,41,3,2014,SUSPNS/THRILLER,BB
ABOUT LAST NIGHT (2014),27838201,8,44,30,2,2014,ROMANTIC COMEDY,BB
SON OF GOD,25601865,1,34,34,3,2014,HUMN INTST DRMA,BB
ROBOCOP (2014),25061581,9,77,39,8,2014,ACTION DRAMA,BB
THE MONUMENTS MEN,22003433,5,48,39,6,2014,ACTION,BB
ENDLESS LOVE (2014),14407605,8,39,27,2,2014,ROMANTIC DRAMA,BB
3 DAYS TO KILL,12242218,4,47,33,3,2014,SUSPNS/THRILLER,BB
POMPEII,10340823,5,46,28,4,2014,ACTION ADVENTURE,BB
WINTER'S TALE,8007059,3,48,29,2,2014,ROMANTIC DRAMA,BB
DIVERGENT,54607747,12,60,44,8,2014,ACTION DRAMA,BB
300: RISE OF AN EMPIRE,45038460,9,63,49,9,2014,ACTION DRAMA,BB
NOAH,43720472,10,73,41,9,2014,HUMN INTST DRMA,BB
MR. PEABODY & SHERMAN,32207057,11,59,34,4,2014,FAMILY,BB
NEED FOR SPEED,17844939,7,68,40,5,2014,ACTION DRAMA,BB
MUPPETS MOST WANTED,17005126,12,77,36,5,2014,FAMILY,BB
GOD'S NOT DEAD,9244641,2,26,30,2,2014,HUMN INTST DRMA,BB
TYLER PERRY'S THE SINGLE MOMS CLUB,8075111,2,41,32,4,2014,HUMN INTST CMDY,BB
SABOTAGE,5272444,0,43,33,2,2014,ACTION DRAMA,BB
CESAR CHAVEZ,2861528,2,25,25,1,2014,HUMN INTST DRMA,BB
CAPTAIN AMERICA: THE WINTER SOLDIER,95023721,21,85,57,18,2014,ACTION ADVENTURE,BB
RIO 2,39327869,15,75,37,3,2014,FAMILY,BB
THE OTHER WOMAN (2014),24763752,5,58,29,4,2014,COMEDY,BB
HEAVEN IS FOR REAL,22522221,3,44,33,3,2014,HUMN INTST DRMA,BB
OCULUS,12005402,4,28,27,2,2014,HORROR,BB
TRANSCENDENCE,10886386,3,59,37,5,2014,SUSPNS/THRILLER,BB
DRAFT DAY,9783603,0,47,33,5,2014,HUMN INTST DRMA,BB
BRICK MANSIONS,9516855,0,31,32,2,2014,ACTION DRAMA,BB
A HAUNTED HOUSE 2,8843875,4,46,36,4,2014,HORROR,BB
BEARS,4776267,2,34,29,1,2014,DOCUMENTARY,BB
THE QUIET ONES,3880053,3,34,22,1,2014,HORROR,BB
X-MEN: DAYS OF FUTURE PAST,110576604,22,90,63,16,2014,ACTION DRAMA,BB
GODZILLA (2014),93188384,19,82,45,11,2014,ACTION DRAMA,BB
THE AMAZING SPIDER-MAN 2,91608337,22,97,54,13,2014,ACTION,BB
MALEFICENT,69431298,16,78,46,8,2014,FAMILY,BB
NEIGHBORS (2014),49033915,9,64,40,6,2014,HUMN INTST CMDY,BB
BLENDED,17735205,5,51,29,3,2014,ROMANTIC COMEDY,BB
A MILLION WAYS TO DIE IN THE WEST,16797385,5,59,37,4,2014,COMEDY,BB
MILLION DOLLAR ARM,10515659,3,47,23,3,2014,HUMN INTST DRMA,BB
MOMS' NIGHT OUT,4311083,1,38,25,1,2014,HUMN INTST CMDY,BB
LEGENDS OF OZ,3715931,2,52,32,2,2014,FAMILY,BB
TRANSFORMERS: AGE OF EXTINCTION,100038390,20,90,53,13,2014,ACTION ADVENTURE,BB
22 JUMP STREET,57071445,15,86,46,8,2014,ACTION COMEDY,BB
HOW TO TRAIN YOUR DRAGON 2,49451322,13,87,38,6,2014,FAMILY,BB
THE FAULT IN OUR STARS,48002523,9,51,41,6,2014,DRAMA,BB
THINK LIKE A MAN TOO,29241911,9,54,34,3,2014,ROMANTIC COMEDY,BB
EDGE OF TOMORROW,28760246,5,59,33,4,2014,ACTION DRAMA,BB
JERSEY BOYS,13319371,3,54,26,4,2014,HUMN INTST DRMA,BB
DAWN OF THE PLANET OF THE APES,72611427,15,86,48,10,2014,ACTION DRAMA,BB
LUCY (2014),43899340,10,59,40,6,2014,ACTION DRAMA,BB
THE PURGE: ANARCHY,29816675,8,66,38,4,2014,THRILLER,BB
HERCULES (2014),29800263,9,76,38,4,2014,ACTION ADVENTURE,BB
TAMMY,21577049,6,47,41,4,2014,HUMN INTST CMDY,BB
PLANES: FIRE & RESCUE,17509407,9,59,28,3,2014,FAMILY,BB
SEX TAPE,14608152,6,60,35,5,2014,HUMN INTST CMDY,BB
DELIVER US FROM EVIL (2014),9740471,2,52,30,2,2014,SUSPNS/THRILLER,BB
EARTH TO ECHO,8364658,4,45,30,2,2014,FAMILY,BB
AND SO IT GOES,4642329,1,30,25,2,2014,HUMN INTST CMDY,BB
GUARDIANS OF THE GALAXY,94320883,19,74,48,10,2014,ACTION ADVENTURE,BB
TEENAGE MUTANT NINJA TURTLES (2014),65575105,20,90,37,5,2014,FAMILY,BB
LET'S BE COPS,17813722,8,56,44,3,2014,ZANY COMEDY,BB
INTO THE STORM,17346427,4,49,37,4,2014,SUSPNS/THRILLER,BB
THE EXPENDABLES 3,15879645,8,78,40,7,2014,ACTION,CC
IF I STAY,15679190,7,45,33,3,2014,HUMN INTST DRMA,CC
GET ON UP,13585915,1,46,31,5,2014,HUMN INTST DRMA,CC
THE GIVER,12305016,3,53,38,4,2014,DRAMA,CC
THE HUNDRED-FOOT JOURNEY,10979290,1,35,28,2,2014,DRAMA,CC
"AS ABOVE, SO BELOW",10284110,3,28,26,1,2014,HORROR,CC
THE NOVEMBER MAN,10105877,4,38,29,1,2014,ACTION,CC
WHEN THE GAME STANDS TALL,8381509,0,31,30,1,2014,HUMN INTST DRMA,CC
STEP UP ALL IN,6469857,2,51,23,2,2014,HUMN INTST DRMA,CC
SIN CITY: A DAME TO KILL FOR,6317683,5,58,38,3,2014,ACTION DRAMA,CC
BOYHOOD,1992448,4,29,32,2,2014,HUMN INTST DRMA,CC
MAGIC IN THE MOONLIGHT,1786150,1,26,26,1,2014,HUMN INTST CMDY,CC
THE EQUALIZER,34137828,8,64,47,13,2014,THRILLER,CC
THE MAZE RUNNER,32512804,11,65,48,14,2014,THRILLER,CC
NO GOOD DEED (2014),24250283,4,46,36,5,2014,SUSPNS/THRILLER,CC
THE BOXTROLLS,17275239,8,58,37,5,2014,ANIMATION,CC
DOLPHIN TALE 2,15873397,9,65,33,4,2014,FAMILY,CC
A WALK AMONG THE TOMBSTONES,12758780,4,50,42,6,2014,DRAMA,CC
THIS IS WHERE I LEAVE YOU,11558149,5,50,35,6,2014,HUMN INTST CMDY,CC
THE IDENTICAL,1587137,0,29,28,2,2014,DRAMA,CC
GONE GIRL,37513109,9,60,37,7,2014,SUSPNS/THRILLER,CC
ANNABELLE,37134255,7,42,36,4,2014,HORROR,CC
FURY,23702421,7,60,39,4,2014,ACTION DRAMA,CC
DRACULA UNTOLD,23514615,7,55,43,5,2014,ACTION DRAMA,CC
OUIJA (2014),19875995,7,52,38,2,2014,HORROR,CC
"ALEXANDER AND THE TERRIBLE, HORRIBLE, NO GOOD, VERY BAD DAY",18360230,6,67,34,3,2014,FAMILY,CC
JOHN WICK,14415922,1,39,37,2,2014,ACTION DRAMA,CC
THE JUDGE,13116226,4,59,35,4,2014,DRAMA,CC
NIGHTCRAWLER,10441000,4,46,34,2,2014,SUSPNS/THRILLER,CC
THE BEST OF ME,10003827,5,42,29,2,2014,ROMANCE,CC
ADDICTED (2014),7485346,2,36,34,4,2014,HUMN INTST DRMA,CC
LEFT BEHIND,6300147,0,54,34,5,2014,HUMN INTST DRMA,CC
BEFORE I GO TO SLEEP,1843347,1,37,28,1,2014,SUSPNS/THRILLER,CC
THE HUNGER GAMES: MOCKINGJAY PART 1,121897634,22,95,69,23,2014,ACTION ADVENTURE,CC
BIG HERO 6,56215889,13,59,52,6,2014,FAMILY,CC
INTERSTELLAR,47510360,8,60,47,8,2014,ACTION DRAMA,CC
DUMB AND DUMBER TO,36111775,13,89,43,9,2014,ZANY COMEDY,CC
PENGUINS OF MADAGASCAR,25447444,8,84,38,4,2014,FAMILY,CC
HORRIBLE BOSSES 2,15457418,9,77,42,7,2014,HUMN INTST CMDY,CC
BEYOND THE LIGHTS,6200284,2,32,30,2,2014,HUMN INTST DRMA,CC
INTO THE WOODS,31051923,11,68,42,5,2014,HUMN INTST DRMA,CC
UNBROKEN,30621445,6,50,33,3,2014,HUMN INTST DRMA,CC
EXODUS: GODS AND KINGS,24115934,7,62,40,8,2014,ACTION DRAMA,CC
NIGHT AT THE MUSEUM: SECRET OF THE TOMB,17100520,11,88,46,6,2014,FAMILY,CC
ANNIE (2014),15861939,12,79,30,5,2014,FAMILY,CC
THE GAMBLER (II),9127022,4,52,31,4,2014,DRAMA,CC
TOP FIVE,6894814,4,40,38,4,2014,HUMN INTST CMDY,CC
THE INTERVIEW (2014),1794666,6,66,44,5,2014,COMEDY,CC
A WALK IN THE WOODS,10908832,2,41,29,2,2015,COMEDY,CC
ALOHA,9670235,8,43,31,3,2015,ROMANTIC COMEDY,CC
ALVIN AND THE CHIPMUNKS: THE ROAD CHIP,14287159,9,71,34,3,2015,FAMILY,CC
AMERICAN SNIPER,107211457,13,69,50,8,2015,ACTION DRAMA,CC
AMERICAN ULTRA,5454284,1,32,30,1,2015,ACTION COMEDY,CC
ANT-MAN,57225526,17,79,43,8,2015,ACTION ADVENTURE,CC
AVENGERS: AGE OF ULTRON,191271109,25,87,69,29,2015,ACTION ADVENTURE,CC
BLACK MASS,22635037,6,50,44,7,2015,SUSPNS/THRILLER,CC
BLACK OR WHITE,6213362,3,42,30,1,2015,HUMN INTST DRMA,CC
BLACKHAT,4491010,3,30,31,2,2015,SUSPNS/THRILLER,CC
BRIDGE OF SPIES,15371203,4,48,41,2,2015,HUMN INTST DRMA,CC
BURNT,5002521,4,43,29,1,2015,HUMN INTST DRMA,CC
CAPTIVE (2015),1393243,1,33,33,1,2015,SUSPNS/THRILLER,CC
CHAPPIE,13346782,3,50,35,4,2015,ACTION DRAMA,CC
CINDERELLA (2015),67877361,19,82,43,9,2015,FAMILY,CC
CONCUSSION (2015),10513749,6,61,36,2,2015,HUMN INTST DRMA,CC
CREED,29632823,11,63,37,6,2015,HUMN INTST DRMA,CC
CRIMSON PEAK,13143310,5,41,33,3,2015,HORROR,CC
DADDY'S HOME (2015),38740203,11,61,43,3,2015,HUMN INTST CMDY,CC
DISNEY'S TOMORROWLAND,42679200,14,66,36,5,2015,FAMILY,CC
DO YOU BELIEVE?,3591282,0,28,26,1,2015,HUMN INTST DRMA,CC
DOPE,6100010,4,30,31,1,2015,HUMN INTST CMDY,CC
ENTOURAGE,10283250,5,55,24,2,2015,HUMN INTST CMDY,CC
EVEREST (2015),13242895,7,60,33,5,2015,ACTION DRAMA,CC
FANTASTIC FOUR (2015),25685737,17,91,45,5,2015,ACTION ADVENTURE,CC
FIFTY SHADES OF GREY,93010350,11,93,29,7,2015,ROMANTIC DRAMA,CC
FOCUS (2015),18685137,6,58,40,5,2015,HUMN INTST CMDY,CC
FURIOUS 7,147187040,18,95,58,22,2015,ACTION ADVENTURE,CC
GET HARD,33803253,12,64,47,7,2015,HUMN INTST CMDY,CC
GOOSEBUMPS,23618556,11,70,39,3,2015,FAMILY,CC
HITMAN: AGENT 47,8326530,3,53,39,3,2015,ACTION DRAMA,CC
HOME (2015),52107731,15,52,46,4,2015,FAMILY,CC
HOT PURSUIT (2015),13942258,6,62,34,5,2015,ACTION COMEDY,CC
HOT TUB TIME MACHINE 2,5963324,6,70,35,5,2015,ZANY COMEDY,CC
HOTEL TRANSYLVANIA 2,48464322,16,81,46,9,2015,FAMILY,CC
IN THE HEART OF THE SEA,11053366,5,54,34,4,2015,ACTION DRAMA,CC
INSIDE OUT (2015),90440272,21,65,48,5,2015,FAMILY,CC
INSIDIOUS: CHAPTER 3,22692741,12,69,38,6,2015,HORROR,CC
JEM AND THE HOLOGRAMS,1375320,2,40,20,1,2015,HUMN INTST DRMA,CC
JOY,17015168,8,57,33,4,2015,HUMN INTST DRMA,CC
JUPITER ASCENDING,18372372,7,58,39,7,2015,ACTION DRAMA,CC
JURASSIC WORLD,208806270,24,93,61,17,2015,ACTION ADVENTURE,CC
KINGSMAN: THE SECRET SERVICE,41761512,4,59,43,6,2015,ACTION ADVENTURE,CC
KRAMPUS,16293325,11,48,37,4,2015,HORROR,CC
LOVE THE COOPERS,8317545,1,40,30,2,2015,HUMN INTST CMDY,CC
MAD MAX: FURY ROAD,45428128,12,67,39,7,2015,ACTION ADVENTURE,CC
MAGIC MIKE XXL,12857184,5,71,26,4,2015,HUMN INTST DRMA,CC
MAX (2015),12155254,8,39,32,1,2015,FAMILY,CC
