Title,Studio,Genre,Rating,Release Date,DTR,Day of Week,OBO,Organic Conversation,Organic Intent,Humor,Group Dynamic,Paid Push,Twitter Mentions,Facebook PTAT,Wikipedia Desktop,Wikipedia All,YouTube Views,Theater Count,Holiday
Geostorm,Warner Bros.,Action Adventure,PG-13,10/20/2017,1,Fri,13707376,4406,529,157,36,252,4253,174098,295567,644752,32535358,3246,
Only the Brave (2017),Sony Pictures,Human Interest Drama,PG-13,10/20/2017,1,Fri,6002665,2033,277,48,9,157,1688,27926,172838,430881,5207655,2577,
Same Kind of Different as Me,Pure Flix Entertainment,Human Interest Drama,PG-13,10/20/2017,1,Fri,2591985,730,122,14,2,161,808,70815,43711,88512,1013789,1362,
The Snowman,Universal,Suspense/Thriller,R,10/20/2017,1,Fri,3372565,8763,278,546,43,317,6396,33200,479885,1058293,27759555,1812,
Tyler Perry's Boo 2! A Madea Halloween,Lionsgate Films,Zany Comedy,PG-13,10/20/2017,1,Fri,21226953,917,113,2677,2,4547,7430,286957,50963,128320,9256537,2388,
Jigsaw,Lionsgate Films,Horror,R,10/27/2017,1,Fri,16640452,8343,1141,337,64,5678,13913,385597,585101,1422758,29955345,2941,
Suburbicon,Paramount,Human Interest Comedy,R,10/27/2017,1,Fri,2840246,3497,148,203,8,300,2527,12502,265237,522064,8392939,2046,
Thank You for Your Service (2017),Universal,Human Interest Drama,PG-13,10/27/2017,1,Fri,3817700,1114,178,14,11,217,2190,161107,153664,321025,13855201,2054,
A Bad Moms Christmas,STX Entertainment,Human Interest Comedy,R,11/1/2017,1,Wed,16759161,7138,1228,663,21,738,5208,392606,118866,286270,19735308,3615,
Thor: Ragnarok,Disney,Action Adventure,PG-13,11/3/2017,1,Fri,122744989,113881,14215,7412,318,23108,131419,169064,1706542,3924034,267939681,4080,
Daddy's Home 2,Paramount,Human Interest Comedy,PG-13,11/10/2017,1,Fri,29651193,5822,828,541,27,292,3167,161802,228863,542281,33306242,3575,
Murder on the Orient Express (2017),20th Century Fox,Suspense/Thriller,PG-13,11/10/2017,1,Fri,28681472,12917,1631,538,84,519,11019,118681,652961,1404537,31694131,3341,
Justice League,Warner Bros.,Action Adventure,PG-13,11/17/2017,1,Fri,93842239,274285,30049,13974,821,22346,231984,345636,2044528,4709417,342251729,4051,
The Star,Sony Pictures,Family,PG,11/17/2017,1,Fri,9812674,1306,216,73,2,220,3484,147510,184568,343680,7425270,2837,
Wonder,Lionsgate Films,Human Interest Drama,PG,11/17/2017,1,Fri,27547866,3641,725,73,32,172,8650,221757,323864,917441,26184493,3096,
Coco (2017),Disney,Family,PG,11/22/2017,1,Wed,50802605,17061,2861,661,73,806,28675,149183,514437,1031230,65975304,3987,Thanksgiving
Just Getting Started,Broad Green Pictures,Human Interest Comedy,PG-13,12/8/2017,1,Fri,3201459,357,33,17,0,168,1427,98915,41312,73844,5162655,2161,
The Disaster Artist,A24 Films,Human Interest Comedy,R,12/8/2017,1,Fri,6366243,14531,1835,1608,118,91,22868,140569,1169289,2266854,44570893,840,
Star Wars: The Last Jedi,Disney,Action Adventure,PG-13,12/15/2017,1,Fri,220009584,491105,49172,22368,1152,58943,575702,293076,2130879,4633022,218527497,4232,
Ferdinand,20th Century Fox,Family,PG,12/15/2017,1,Fri,13401586,3928,353,167,13,854,4428,104022,239198,471019,43418890,3621,
The Greatest Showman,20th Century Fox,Human Interest Drama,PG,12/20/2017,1,Wed,8805843,9355,1732,230,63,497,13868,107955,443156,1014329,36806939,3006,Christmas
Jumanji: Welcome to the Jungle,Sony Pictures,Family,PG-13,12/20/2017,1,Wed,36169328,22195,2428,2071,68,337,23346,73693,630262,1375076,93152335,3765,Christmas
Downsizing,Paramount,Human Interest Comedy,R,12/22/2017,1,Fri,4954287,4254,303,274,10,151,4836,18407,403803,817576,29940438,2668,Christmas
Father Figures,Warner Bros.,Human Interest Comedy,R,12/22/2017,1,Fri,3287451,600,41,35,0,60,629,63828,99924,212092,16229707,2902,Christmas
Pitch Perfect 3,Universal,Human Interest Comedy,PG-13,12/22/2017,1,Fri,19928525,30830,3754,1684,158,891,21523,184648,297898,733129,79626421,3447,Christmas
All the Money in the World,Sony Pictures,Human Interest Drama,R,12/25/2017,1,Mon,2565393,3634,164,73,1,90,4153,10411,510327,1121173,11557618,2074,Christmas
Insidious: The Last Key,Universal,Horror,PG-13,1/5/2018,1,Fri,29581355,7480,1413,315,409,187,5705,279944,246541,636863,31102739,3116,
Molly's Game,STX Entertainment,Human Interest Drama,R,1/5/2018,1,Fri,6856578,4222,466,177,4,127,3797,1200,461987,1017395,9399140,1608,
The Commuter,Lionsgate Films,Suspense/Thriller,PG-13,1/12/2018,1,Fri,13701452,1853,156,55,4,168,1334,34189,178850,387398,11603183,2892,Martin Luther King Jr. Day
Paddington 2,Warner Bros.,Family,PG,1/12/2018,1,Fri,11001961,5763,658,424,28,2296,6460,67439,219052,473608,11352137,3702,Martin Luther King Jr. Day
The Post,20th Century Fox,Human Interest Drama,PG-13,1/12/2018,1,Fri,19361968,10833,844,286,15,138,14701,75778,708356,1650178,24726811,2819,Martin Luther King Jr. Day
Proud Mary,Sony Pictures,Action Drama,R,1/12/2018,1,Fri,9959053,3904,798,142,85,846,8102,150833,57782,139097,4253006,2125,Martin Luther King Jr. Day
12 Strong,Warner Bros.,Human Interest Drama,R,1/19/2018,1,Fri,15815025,2922,456,137,9,1696,5283,108033,315312,922733,12929165,3002,
Den of Thieves,STX Entertainment,Action Drama,R,1/19/2018,1,Fri,15206108,3476,575,215,35,235,3793,142907,103273,254481,17726877,2432,
Hostiles,Entertainment Studios Motion Pictures,Action Drama,R,1/26/2018,1,Fri,10110739,2210,178,41,3,68,2544,11643,312326,688351,3755945,2816,
Maze Runner: The Death Cure,20th Century Fox,Suspense/Thriller,PG-13,1/26/2018,1,Fri,24167011,33430,3763,2503,79,8499,95486,96896,378678,887373,53046965,3787,
Winchester,Lionsgate Films,Suspense/Thriller,PG-13,2/2/2018,1,Fri,9307626,923,135,23,8,32,1260,234547,136960,327515,14766447,2480,
The 15:17 to Paris,Warner Bros.,Human Interest Drama,PG-13,2/9/2018,1,Fri,12554286,1515,227,50,36,159,1322,158245,361528,1165498,4166821,3042,
Fifty Shades Freed,Universal,Romantic Drama,R,2/9/2018,1,Fri,38560195,62864,7163,1480,402,2571,54813,921074,352551,1027014,104627861,3768,
Peter Rabbit,Sony Pictures,Family,PG,2/9/2018,1,Fri,25010928,7318,937,380,25,153,3537,76849,268028,538360,17117424,3725,
Samson,Pure Flix Entertainment,Human Interest Drama,PG-13,2/16/2018,1,Fri,1943569,650,89,30,1,97,863,57610,52385,108473,12350526,1249,President's Day
Black Panther,Disney,Action Adventure,PG-13,2/16/2018,1,Fri,202003951,293955,40993,21420,2117,13891,493006,92691,1879374,4541747,151460093,4020,President's Day
Early Man,Lionsgate Films,Family,PG,2/16/2018,1,Fri,3190525,4123,239,218,2,1592,6973,2904,190145,363576,18063877,2494,President's Day
Annihilation,Paramount,Suspense/Thriller,R,2/23/2018,1,Fri,11071584,11724,628,173,12,155,11920,37422,582887,1173246,39718489,2012,
Every Day (2018),Orion Distribution Company,Romantic Drama,PG-13,2/23/2018,1,Fri,3016149,2409,193,141,9,988,4305,114846,107829,282950,3219780,1667,
Game Night,Warner Bros.,Human Interest Comedy,R,2/23/2018,1,Fri,17005332,1816,209,328,8,244,2036,39545,179294,381245,16813572,3488,
Death Wish (2018),MGM Studios,Action Drama,R,3/2/2018,1,Fri,13010267,2151,228,69,8,464,2354,167906,224656,512750,15354481,2847,
Red Sparrow,20th Century Fox,Suspense/Thriller,R,3/2/2018,1,Fri,16853422,5780,444,226,12,821,7801,34944,543046,1146706,77562008,3056,
Gringo,STX Entertainment,Action Comedy,R,3/9/2018,1,Fri,2722420,1241,102,150,2,139,1355,22675,151166,315332,17204515,2404,
Hurricane Heist,Entertainment Studios Motion Pictures,Action Drama,PG-13,3/9/2018,1,Fri,3024399,763,73,36,3,25,711,2074,52978,114085,13069321,2402,
The Strangers: Prey at Night,Aviron Pictures,Horror,R,3/9/2018,1,Fri,10402271,2480,419,85,19,708,3005,83935,147315,450092,18082536,2464,
A Wrinkle in Time (2018),Disney,Action Adventure,PG,3/9/2018,1,Fri,33123609,19046,3213,546,88,2062,79418,60555,490349,1001142,20001859,3980,
I Can Only Imagine,Roadside Attractions,Human Interest Drama,PG,3/16/2018,1,Fri,17104797,874,144,18,3,153,1509,669980,52650,180646,1024641,1627,
"Love, Simon",20th Century Fox,Human Interest Drama,PG-13,3/16/2018,1,Fri,11756244,3444,883,325,18,21,1810,96386,367855,933437,34876336,2402,
Tomb Raider,Warner Bros.,Action Adventure,PG-13,3/16/2018,1,Fri,23633317,19130,1884,665,52,2449,16332,70092,503455,1113692,46195034,3854,
Midnight Sun (2018),Global Road Entertainment,Romantic Drama,PG-13,3/23/2018,1,Fri,4003993,2876,365,70,27,333,2484,44640,150129,407808,17248438,2173,
Pacific Rim: Uprising,Universal,Action Drama,PG-13,3/23/2018,1,Fri,28116535,23707,2316,765,54,415,19888,60070,594389,1282138,61897273,3708,
"Paul, Apostle of Christ",Sony Pictures,Human Interest Drama,PG-13,3/23/2018,1,Fri,5172585,603,60,19,3,177,820,451717,51356,105585,4996678,1473,
Sherlock Gnomes,Paramount,Family,PG,3/23/2018,1,Fri,10604774,2269,286,137,6,189,1712,34147,187726,361404,22121187,3662,
Unsane,Bleecker Street Media,Suspense/Thriller,R,3/23/2018,1,Fri,3762145,1988,238,90,23,727,2369,20714,197061,425933,24327594,2023,
Ready Player One,Warner Bros.,Action Adventure,PG-13,3/29/2018,1,Thu,41764050,24719,3483,1074,216,5668,43940,39682,791896,1561161,62764492,4234,Good Friday
God's Not Dead: A Light in Darkness,Pure Flix Entertainment,Human Interest Drama,PG,3/30/2018,1,Fri,2689677,875,130,22,3,67,1456,257545,42431,79162,323962,1693,
Tyler Perry's Acrimony,Lionsgate Films,Suspense/Thriller,R,3/30/2018,1,Fri,17170707,2212,383,65,27,271,3202,344380,63858,211878,6491412,2006,
Blockers,Universal,Human Interest Comedy,R,4/6/2018,1,Fri,20556350,3328,442,687,17,185,4199,68788,202402,503969,16113167,3379,
Chappaquiddick,Entertainment Studios Motion Pictures,Human Interest Drama,PG-13,4/6/2018,1,Fri,5765854,2714,162,148,3,104,4909,19953,144853,347248,7326198,1560,
The Miracle Season,LD Entertainment,Human Interest Drama,PG,4/6/2018,1,Fri,3950652,551,92,8,8,111,725,44859,27849,90291,3025319,1707,
A Quiet Place,Paramount,Horror,PG-13,4/6/2018,1,Fri,50203562,8589,1460,290,60,171,6324,128673,880306,2788254,32846010,3508,
Blumhouse's Truth or Dare,Universal,Horror,PG-13,4/13/2018,1,Fri,18667855,4711,506,249,27,185,4142,59392,272597,718468,27564218,3029,Friday the 13th
Rampage (2018),Warner Bros.,Action Drama,PG-13,4/13/2018,1,Fri,35753093,11147,1074,800,17,658,12866,95223,571474,1346371,59306185,4101,
Sgt. Stubby: An American Hero,Fun Academy Motion Pictures,Family,PG,4/13/2018,1,Fri,1180939,424,87,14,1,152,579,37835,49327,92613,677631,1633,
I Feel Pretty,STX Entertainment,Human Interest Comedy,PG-13,4/20/2018,1,Fri,16030218,6464,1419,849,86,170,2257,187078,126066,296542,46687344,3440,
Super Troopers 2,Fox Searchlight Pictures,Zany Comedy,R,4/20/2018,1,Fri,15181624,5992,728,572,51,76,4676,344434,149282,354178,25805048,2038,
Traffik,Lionsgate Films,Suspense/Thriller,R,4/20/2018,1,Fri,3941338,1759,462,29,4,396,1648,3201,17739,47661,3826883,1046,
Avengers: Infinity War,Disney,Action Adventure,PG-13,4/27/2018,1,Fri,257698183,416210,49859,21893,767,35239,292702,526614,3922295,10028023,748425872,4474,
Bad Samaritan,Vertical Entertainment,Suspense/Thriller,R,5/4/2018,1,Fri,1726868,1160,214,37,8,86,2284,39630,52036,103781,727841,2007,
Overboard (2018),Lionsgate Films,Romantic Comedy,PG-13,5/4/2018,1,Fri,14711101,1705,197,128,6,121,2017,95315,110215,283283,6973215,1623,
Tully (2018),Focus Features,Human Interest Comedy,R,5/4/2018,1,Fri,3282610,2596,284,397,4,223,2733,37481,169018,401333,8474979,1353,
Breaking In (2018),Universal,Suspense/Thriller,PG-13,5/11/2018,1,Fri,17630285,1199,223,40,15,665,4331,62220,72650,206145,9756066,2537,
Life of the Party (2018),Warner Bros.,Human Interest Comedy,PG-13,5/11/2018,1,Fri,17886075,1521,190,301,3,916,2397,76413,115636,258834,9391369,3656,
Book Club,Paramount,Human Interest Comedy,PG-13,5/18/2018,1,Fri,13582231,1696,377,160,10,99,721,147473,70018,163978,2080357,2781,
Deadpool 2,20th Century Fox,Action Adventure,R,5/18/2018,1,Fri,125507153,234865,27002,21086,642,4985,274049,341414,1606350,3877664,364468476,4349,
Show Dogs,Global Road Entertainment,Family,PG,5/18/2018,1,Fri,6023972,423,56,28,1,129,431,4578,55614,105959,18368097,3212,
Solo: A Star Wars Story,Disney,Action Adventure,PG-13,5/25/2018,1,Fri,84420489,130986,13223,6856,1134,22823,145426,44166,1682649,3692294,68680940,4381,Memorial Day
Action Point,Paramount,Zany Comedy,R,6/1/2018,1,Fri,2390164,976,95,88,4,36,792,24019,80433,192833,4221167,2032,
Adrift (2018),STX Entertainment,Human Interest Drama,PG-13,6/1/2018,1,Fri,11603039,1764,235,53,11,576,1849,72562,207583,644515,43321194,3015,
Upgrade,BH Tilt,Suspense/Thriller,R,6/1/2018,1,Fri,4670905,879,101,34,1,350,1244,35083,93933,179515,32536396,1457,
Hereditary,A24 Films,Horror,R,6/8/2018,1,Fri,13575173,3064,412,164,32,51,4544,114234,398091,1074396,29670793,2964,
Hotel Artemis,Global Road Entertainment,Action Drama,R,6/8/2018,1,Fri,3232790,1371,158,48,4,359,1624,13621,149338,365866,31153124,2407,
Ocean's 8,Warner Bros.,Action Comedy,PG-13,6/8/2018,1,Fri,41607378,18677,2319,839,107,1555,32302,113485,878984,2131604,43480544,4145,
SuperFly (2018),Sony Pictures,Action Drama,R,6/13/2018,1,Wed,6870740,889,181,20,4,484,1609,50001,56047,148836,8995792,2220,
Incredibles 2,Disney,Family,PG,6/15/2018,1,Fri,182687905,71707,15463,5931,2537,9381,297092,337328,761365,1695966,327155114,4410,
Tag (2018),Warner Bros.,Human Interest Comedy,R,6/15/2018,1,Fri,14947396,2594,319,398,10,391,3424,29738,267762,725865,12811761,3382,
Jurassic World: Fallen Kingdom,Universal,Action Adventure,PG-13,6/22/2018,1,Fri,148024610,74338,10744,3041,327,1714,71688,191896,1261748,3511836,250366271,4475,
Sicario: Day of the Soldado,Sony Pictures,Action Drama,R,6/29/2018,1,Fri,19007566,6798,679,182,18,478,8491,110064,404647,910410,29513817,3055,
Uncle Drew,Lionsgate Films,Human Interest Comedy,PG-13,6/29/2018,1,Fri,15242781,10275,1263,841,194,4504,18949,84315,149402,411293,26156683,2742,
The First Purge,Universal,Suspense/Thriller,R,7/4/2018,1,Wed,17374280,8171,698,439,121,12831,39138,143953,334799,784467,27414505,3031,
Ant-Man and the Wasp,Disney,Action Adventure,PG-13,7/6/2018,1,Fri,75812205,73257,9384,5671,279,19208,123617,23144,1268163,2978455,153935174,4206,
Hotel Transylvania 3: Summer Vacation,Sony Pictures,Family,PG,7/13/2018,1,Fri,44076225,6246,819,516,42,1638,17679,122706,305820,648467,87634322,4267,
Skyscraper,Universal,Action Drama,PG-13,7/13/2018,1,Fri,24905015,9588,1162,514,34,543,20353,39370,351100,846984,56889584,3782,
Sorry to Bother You,Annapurna Pictures,Human Interest Comedy,R,7/13/2018,1,Fri,4208881,NA,NA,NA,NA,NA,NA,NA,216597,468337,9181325,805,
The Equalizer 2,Sony Pictures,Action Drama,R,7/20/2018,1,Fri,36011640,5649,744,220,31,756,9867,165996,231634,584514,24739995,3388,
Mamma Mia! Here We Go Again,Universal,Romantic Comedy,PG-13,7/20/2018,1,Fri,34952180,18086,3645,867,367,2992,50874,202986,631303,1947179,64816736,3317,
Unfriended: Dark Web,BH Tilt,Horror,R,7/20/2018,1,Fri,3653035,3078,164,103,10,507,10602,53496,104503,251554,53794333,1546,
Mission: Impossible - Fallout,Paramount,Action Drama,PG-13,7/27/2018,1,Fri,61236534,25747,3026,2032,62,1519,45609,106490,844567,2024585,94569673,4386,
Teen Titans Go! To the Movies,Warner Bros.,Family,PG,7/27/2018,1,Fri,10411189,8265,1358,1473,149,1725,19067,21998,271074,563164,22822741,3188,
The Darkest Minds,20th Century Fox,Suspense/Thriller,PG-13,8/3/2018,1,Fri,5842609,4874,1032,214,13,931,6733,17606,182009,454861,31320693,3127,
Disney's Christopher Robin,Disney,Family,PG,8/3/2018,1,Fri,24585139,NA,NA,NA,NA,NA,NA,369498,518771,1190796,33553024,3602,
The Spy Who Dumped Me,Lionsgate Films,Action Comedy,R,8/3/2018,1,Fri,12103043,6507,1106,1010,22,972,14555,71583,148586,315621,21528834,3111,
Dog Days (2018),LD Entertainment,Human Interest Comedy,PG,8/8/2018,1,Wed,2554766,4029,642,249,22,832,4526,35182,64054,165451,9540511,2442,
BlacKkKlansman,Focus Features,Human Interest Drama,R,8/10/2018,1,Fri,10845330,10238,1087,959,26,5824,30291,161763,317678,707151,25200575,1512,
The Meg,Warner Bros.,Suspense/Thriller,PG-13,8/10/2018,1,Fri,45402195,10541,1437,465,75,2128,12527,107599,512881,1288605,61160015,4118,
Slender Man,Sony Pictures,Horror,PG-13,8/10/2018,1,Fri,11371866,4509,610,272,99,1097,7304,104668,173052,415272,35471756,2358,
Crazy Rich Asians,Warner Bros.,Romantic Comedy,PG-13,8/15/2018,1,Wed,26510140,15061,2933,2056,266,618,41267,45282,540037,1280654,19310646,3384,
Alpha (2018),Sony Pictures,Action Adventure,PG-13,8/17/2018,1,Fri,10352512,1106,180,25,5,966,2476,90636,105563,256388,35067192,2719,
Mile 22,STX Entertainment,Action Drama,R,8/17/2018,1,Fri,13710825,9568,773,226,10,3287,19907,103423,218128,567336,23477911,3520,
A.X.L.,Global Road Entertainment,Action Adventure,PG,8/24/2018,1,Fri,2782017,645,78,78,28,135,1307,4017,28497,60306,35643485,1710,
The Happytime Murders,STX Entertainment,Action Comedy,R,8/24/2018,1,Fri,9532425,3538,335,440,12,1797,7819,177364,248762,639227,28104439,3256,
Operation Finale,MGM Studios,Human Interest Drama,PG-13,8/29/2018,1,Wed,9601678,2414,198,48,4,1098,9118,31773,159300,401964,13190397,1818,
Kin (2018),Lionsgate Films,Action Drama,PG-13,8/31/2018,1,Fri,3867703,692,127,9,3,226,1402,22496,93272,207551,14851707,2141,
The Nun,Warner Bros.,Horror,R,9/7/2018,1,Fri,53807379,18625,2930,1025,275,3942,40944,345689,703902,2321407,57155548,3876,
Peppermint,STX Entertainment,Action Drama,R,9/7/2018,1,Fri,13423255,2707,407,111,8,489,4319,133237,110003,282431,12008304,2980,
God Bless the Broken Road,Freestyle Releasing,Human Interest Drama,PG,9/7/2018,1,Fri,1386254,340,58,8,1,120,665,8866,4881,12051,4001461,1272,
The Predator,20th Century Fox,Action Drama,R,9/14/2018,1,Fri,24632284,38355,2634,1674,78,4387,47687,138415,778184,1857228,65549839,4037,
A Simple Favor,Lionsgate Films,Suspense/Thriller,R,9/14/2018,1,Fri,16011689,6145,981,332,28,1158,11182,49149,402728,1499112,22427720,3102,
Unbroken: Path to Redemption,Pure Flix Entertainment,Human Interest Drama,PG-13,9/14/2018,1,Fri,2238723,1249,164,18,2,180,2776,129033,53889,140701,1187791,1620,
White Boy Rick,Sony Pictures,Human Interest Drama,R,9/14/2018,1,Fri,8860431,3844,799,111,75,542,8033,57983,375882,1372062,4343122,2504,
Assassination Nation,Neon,Suspense/Thriller,R,9/21/2018,1,Fri,1050021,6089,285,91,6,964,8199,11489,137348,355217,39559962,1403,
The House with a Clock in Its Walls,Universal,Family,PG,9/21/2018,1,Fri,26608020,4664,622,207,28,698,9763,55117,206228,503593,21551972,3592,
Life Itself (2018),Amazon Studios,Romantic Drama,R,9/21/2018,1,Fri,2123463,3540,300,189,18,905,5708,31027,139829,381763,25396535,2609,
Hell Fest,Lionsgate Films,Horror,R,9/28/2018,1,Fri,5130963,1764,310,64,19,480,4958,62949,46183,122050,10261508,2297,
Night School (2018),Universal,Human Interest Comedy,PG-13,9/28/2018,1,Fri,27257615,4978,792,1090,16,1152,8703,31012,103509,260414,40409302,3010,
Smallfoot,Warner Bros.,Family,PG,9/28/2018,1,Fri,23045635,9135,1322,515,28,2895,35917,39744,163001,379128,50860296,4131,
Little Women (2018),Pinnacle Peak,Human Interest Drama,PG-13,9/28/2018,1,Fri,705063,570,98,32,5,290,1016,12860,13089,35739,2378295,643,
A Star is Born (2018),Warner Bros.,Human Interest Drama,R,10/5/2018,1,Fri,42908051,41354,7527,1344,349,6347,179760,239850,891346,2844993,56326201,3686,
Venom (2018),Sony Pictures,Action Adventure,PG-13,10/5/2018,1,Fri,80255756,146748,17999,7661,1448,9346,195237,185522,1607234,4268040,429977209,4250,
